Date,Open,High,Low,Close,,,Volume,Adj Close
12/29/2015,17547.36914,17750.01953,17547.36914,17720.98047,173.611328,1,69860000,17720.98047
12/28/2015,17535.66016,17536.90039,17437.33984,17528.26953,-7.390625,0,59770000,17528.26953
12/24/2015,17593.25977,17606.33984,17543.94922,17552.16992,-41.089844,0,40350000,17552.16992
12/23/2015,17427.63086,17607.91992,17427.63086,17602.60938,174.978516,1,92820000,17602.60938
12/22/2015,17253.55078,17451.10938,17242.85938,17417.26953,163.71875,1,91570000,17417.26953
12/21/2015,17154.93945,17272.35938,17116.73047,17251.61914,96.679688,1,114910000,17251.61914
12/18/2015,17495.03906,17496.58008,17124.31055,17128.55078,-366.488281,0,344560000,17128.55078
12/17/2015,17756.53906,17796.75977,17493.5,17495.83984,-260.699218,0,115780000,17495.83984
12/16/2015,17530.84961,17784.35938,17483.67969,17749.08984,218.240235,1,123790000,17749.08984
12/15/2015,17374.7793,17627.63086,17341.17969,17524.91016,150.130859,1,123430000,17524.91016
12/14/2015,17277.10938,17378.01953,17138.4707,17368.5,91.390625,1,142540000,17368.5
12/11/2015,17574.75,17574.75,17230.5,17265.21094,-309.539062,0,134510000,17265.21094
12/10/2015,17493.16992,17697.74023,17474.66016,17574.75,81.580078,1,107310000,17574.75
12/9/2015,17558.17969,17767.68945,17403.50977,17492.30078,-65.878907,0,122020000,17492.30078
12/8/2015,17703.99023,17703.99023,17485.39063,17568,-135.990234,0,113720000,17568
12/7/2015,17845.49023,17845.49023,17639.25,17730.50977,-114.980468,0,99670000,17730.50977
12/4/2015,17482.67969,17866.4707,17482.67969,17847.63086,364.951171,1,137650000,17847.63086
12/3/2015,17741.57031,17780.58984,17425.56055,17477.66992,-263.90039,0,126990000,17477.66992
12/2/2015,17883.14063,17901.58008,17708.19922,17729.67969,-153.460937,0,102860000,17729.67969
12/1/2015,17719.7207,17895.5,17719.7207,17888.34961,168.628906,1,103880000,17888.34961
11/30/2015,17802.83984,17837.24023,17719.78906,17719.91992,-82.919922,0,155560000,17719.91992
11/27/2015,17806.03906,17830.35938,17749.32031,17813.39063,7.351563,1,82540000,17813.39063
11/25/2015,17820.81055,17854.91992,17801.83008,17813.39063,-7.419922,0,82540000,17813.39063
11/24/2015,17770.90039,17862.59961,17683.50977,17812.18945,41.289062,1,127170000,17812.18945
11/23/2015,17823.60938,17868.17969,17751.5293,17792.67969,-30.929687,0,134680000,17792.67969
