Date,Open,High,Low,Close,Adj Close,,,Volume
8/10/2009,1008.890015,1010.119995,1000.98999,1007.099976,1007.099976,-1.790039,0,5406080000
8/11/2009,1005.77002,1005.77002,992.400024,994.349976,994.349976,-11.420044,0,5773160000
8/12/2009,994,1012.780029,993.359985,1005.809998,1005.809998,11.809998,1,5498170000
8/13/2009,1005.859985,1013.140015,1000.820007,1012.72998,1012.72998,6.869995,1,5250660000
8/14/2009,1012.22998,1012.599976,994.599976,1004.090027,1004.090027,-8.139953,0,4940750000
8/17/2009,998.179993,998.179993,978.51001,979.72998,979.72998,-18.450013,0,4088570000
8/18/2009,980.619995,991.200012,980.619995,989.669983,989.669983,9.049988,1,4198970000
8/19/2009,986.880005,999.609985,980.619995,996.460022,996.460022,9.580017,1,4257000000
8/20/2009,996.409973,1008.919983,996.390015,1007.369995,1007.369995,10.960022,1,4893160000
8/21/2009,1009.059998,1027.589966,1009.059998,1026.130005,1026.130005,17.070007,1,5885550000
8/24/2009,1026.589966,1035.819946,1022.47998,1025.569946,1025.569946,-1.02002,0,6302450000
8/25/2009,1026.630005,1037.75,1026.209961,1028,1028,1.369995,1,5768740000
8/26/2009,1027.349976,1032.469971,1021.570007,1028.119995,1028.119995,0.770019,1,5080060000
8/27/2009,1027.810059,1033.329956,1016.200012,1030.97998,1030.97998,3.169921,1,5785880000
8/28/2009,1031.619995,1039.469971,1023.130005,1028.930054,1028.930054,-2.689941,0,5785780000
8/31/2009,1025.209961,1025.209961,1014.619995,1020.619995,1020.619995,-4.589966,0,5004560000
9/1/2009,1019.52002,1028.449951,996.280029,998.039978,998.039978,-21.480042,0,6862360000
9/2/2009,996.070007,1000.340027,991.969971,994.75,994.75,-1.320007,0,5842730000
9/3/2009,996.119995,1003.429993,992.25,1003.23999,1003.23999,7.119995,1,4624280000
9/4/2009,1003.840027,1016.47998,1001.650024,1016.400024,1016.400024,12.559997,1,4097370000
9/8/2009,1018.669983,1026.069946,1018.669983,1025.390015,1025.390015,6.720032,1,5235160000
9/9/2009,1025.359985,1036.339966,1023.969971,1033.369995,1033.369995,8.01001,1,5202550000
9/10/2009,1032.98999,1044.140015,1028.040039,1044.140015,1044.140015,11.150025,1,5191380000
9/11/2009,1043.920044,1048.180054,1038.400024,1042.72998,1042.72998,-1.190064,0,4922600000
9/14/2009,1040.150024,1049.73999,1035,1049.339966,1049.339966,9.189942,1,4979610000
9/15/2009,1049.030029,1056.040039,1043.420044,1052.630005,1052.630005,3.599976,1,6185620000
9/16/2009,1053.98999,1068.76001,1052.869995,1068.76001,1068.76001,14.77002,1,6793530000
9/17/2009,1067.869995,1074.77002,1061.199951,1065.48999,1065.48999,-2.380005,0,6668110000
9/18/2009,1066.599976,1071.52002,1064.27002,1068.300049,1068.300049,1.700073,1,5607970000
9/21/2009,1067.140015,1067.280029,1057.459961,1064.660034,1064.660034,-2.479981,0,4615280000
9/22/2009,1066.349976,1073.810059,1066.349976,1071.660034,1071.660034,5.310058,1,5246600000
9/23/2009,1072.689941,1080.150024,1060.390015,1060.869995,1060.869995,-11.819946,0,5531930000
9/24/2009,1062.560059,1066.290039,1045.849976,1050.780029,1050.780029,-11.78003,0,5505610000
9/25/2009,1049.47998,1053.469971,1041.170044,1044.380005,1044.380005,-5.099975,0,4507090000
9/28/2009,1045.380005,1065.130005,1045.380005,1062.97998,1062.97998,17.599975,1,3726950000
9/29/2009,1063.689941,1069.619995,1057.829956,1060.609985,1060.609985,-3.079956,0,4949900000
9/30/2009,1061.02002,1063.400024,1046.469971,1057.079956,1057.079956,-3.940064,0,5998860000
10/1/2009,1054.910034,1054.910034,1029.449951,1029.849976,1029.849976,-25.060058,0,5791450000
10/2/2009,1029.709961,1030.599976,1019.950012,1025.209961,1025.209961,-4.5,0,5583240000
10/5/2009,1026.869995,1042.579956,1025.920044,1040.459961,1040.459961,13.589966,1,4313310000
10/6/2009,1042.02002,1060.550049,1042.02002,1054.719971,1054.719971,12.699951,1,5029840000
10/7/2009,1053.650024,1058.02002,1050.099976,1057.579956,1057.579956,3.929932,1,4238220000
10/8/2009,1060.030029,1070.670044,1060.030029,1065.47998,1065.47998,5.449951,1,4988400000
10/9/2009,1065.280029,1071.51001,1063,1071.48999,1071.48999,6.209961,1,3763780000
10/12/2009,1071.630005,1079.459961,1071.630005,1076.189941,1076.189941,4.559936,1,3710430000
10/13/2009,1074.959961,1075.300049,1066.709961,1073.189941,1073.189941,-1.77002,0,4320480000
10/14/2009,1078.680054,1093.170044,1078.680054,1092.02002,1092.02002,13.339966,1,5406420000
10/15/2009,1090.359985,1096.560059,1086.410034,1096.560059,1096.560059,6.200074,1,5369780000
10/16/2009,1094.670044,1094.670044,1081.530029,1087.680054,1087.680054,-6.98999,0,4894740000
10/19/2009,1088.219971,1100.170044,1086.47998,1097.910034,1097.910034,9.690063,1,4619240000
10/20/2009,1098.640015,1098.640015,1086.160034,1091.060059,1091.060059,-7.579956,0,5396930000
10/21/2009,1090.359985,1101.359985,1080.77002,1081.400024,1081.400024,-8.959961,0,5616290000
